molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL221371,COc1cc(O)c2c(=O)c3c(oc2c1)C(OC)Oc1c(O)cccc1-3,active,342.30300000000005,2.917200000000001,2.0,7.0,6.154901959985743
CHEMBL222265,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1cccc(O)c1OC3OC,intermediate,356.3300000000001,3.225620000000001,2.0,7.0,5.6020599913279625
CHEMBL243813,COc1cccc2[nH]c3ccccc3c(=O)c12,intermediate,225.24699999999999,2.6899000000000006,1.0,2.0,5.200659450546418
CHEMBL243169,COc1ccc2c(=O)c3cccc(C(=O)NCCc4ccc(OC)c(OC)c4)c3[nH]c2c1,intermediate,432.47600000000017,3.6796000000000024,2.0,5.0,5.860120913598763
CHEMBL243168,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccc(OC)cc4[nH]c23)cc1,active,402.4500000000001,3.671000000000002,2.0,4.0,6.251811972993799
CHEMBL243167,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1OC,active,402.4500000000001,3.671000000000002,2.0,4.0,6.346787486224656
CHEMBL397235,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1,active,372.42400000000004,3.6624000000000017,2.0,3.0,6.455931955649724
CHEMBL242513,COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12,active,293.2440000000001,3.708700000000002,1.0,2.0,6.113509274827518
CHEMBL243814,COc1cc(OC)c2c(=O)c3ccccc3[nH]c2c1,intermediate,255.27300000000002,2.6985,1.0,3.0,5.102372908709558
CHEMBL388886,COc1ccc2[nH]c3ccccc3c(=O)c2c1,intermediate,225.24699999999999,2.6899000000000006,1.0,2.0,5.318758762624412
CHEMBL242512,COc1ccc2[nH]c3ccccc3c(=O)c2c1OC,inactive,255.27299999999997,2.698500000000001,1.0,3.0,4.698970004336019
CHEMBL242943,O=c1c2ccccc2[nH]c2cc(C(F)(F)F)cc(O)c12,inactive,279.217,3.405700000000001,2.0,2.0,4.698970004336019
CHEMBL242942,COc1cc(O)c2c(=O)c3ccccc3[nH]c2c1,inactive,241.246,2.3955,2.0,3.0,4.698970004336019
CHEMBL242515,O=c1c2ccccc2[nH]c2ccc(O)cc12,inactive,211.22,2.3869,2.0,2.0,4.698970004336019
CHEMBL397685,O=c1c2ccccc2[nH]c2cccc(O)c12,inactive,211.22,2.3869000000000002,2.0,2.0,4.698970004336019
